Louis Murphy,TB,WR,1500000
Ted Ginn,CAR,WR,1400000
Odell Beckham Jr,NYG,WR,1366018
Mike Wallace,BAL,WR,1250000
Andre Holmes,OAK,WR,1250000
Danny Amendola,NE,WR,1250000
Brian Quick,LA,WR,1250000
Cecil Shorts,HOU,WR,1200000
Brandin Cooks,NO,WR,1182132
Justin Hunter,TEN,WR,1144656
Kelvin Benjamin,CAR,WR,1116750
Brandon LaFell,CIN,WR,1100000
Marcus Easley,BUF,WR,1075000
Robert Woods,BUF,WR,1018650
Cordarrelle Patterson,MIN,WR,1009689
Mohamed Sanu,ATL,WR,1000000
Darrius Heyward-Bey,PIT,WR,1000000
Doug Baldwin,SEA,WR,1000000
Chris Hogan,NE,WR,1000000
Rueben Randle,PHI,WR,1000000
DeAndre Hopkins,HOU,WR,1000000
Andrew Hawkins,CLE,WR,1000000
Matthew Slater,NE,WR,1000000
Andre Johnson,TEN,WR,985000
Devante Parker,MIA,WR,929389
Marqise Lee,JAX,WR,890366
Eric Weems,ATL,WR,885000
Jerome Simpson,SF,WR,885000
James Jones,SD,WR,885000
Aaron Dobson,NE,WR,872505
Jordan Matthews,PHI,WR,869934
Nelson Agholor,PHI,WR,861244
Keshawn Martin,NE,WR,850000
Paul Richardson,SEA,WR,848440
Breshad Perriman,BAL,WR,830696
Josh Gordon,CLE,WR,817016
Marlon Moore,CLE,WR,810000
Phillip Dorsett,IND,WR,804792
Jermaine Kearse,SEA,WR,800000
Jordan Norwood,DEN,WR,800000
Davante Adams,GB,WR,777582
Greg Little,BUF,WR,760000
Greg Salas,BUF,WR,760000
Brandon Tate,CIN,WR,760000
Deonte Thompson,CHI,WR,760000
Chris Givens,PHI,WR,760000
Rod Streater,KC,WR,760000
Marc Mariani,CHI,WR,760000
Jeremy Kerley,DET,WR,760000
Jeremy Ross,NYJ,WR,760000
Kyle Williams,NYJ,WR,760000
Bryan Walters,JAX,WR,760000
Andre Roberts,DET,WR,760000
Josh Bellamy,CHI,WR,760000
Cody Latimer,DEN,WR,757150
Allen Robinson,JAX,WR,739170
Jarvis Landry,MIA,WR,735901
Devin Smith,NYJ,WR,701929
Dorial Green-Beckham,PHI,WR,689709
Devin Funchess,CAR,WR,685950
DeVier Posey,DEN,WR,675000
Quinton Patton,SF,WR,675000
Brice Butler,DAL,WR,675000
Aldrick Robinson,ATL,WR,675000
Marquise Goodwin,BUF,WR,675000
Griff Whalen,MIA,WR,675000
Arrelious Benn,JAX,WR,675000
Jarrett Boykin,BUF,WR,675000
Donte Moncrief,IND,WR,615000
Josh Huff,PHI,WR,615000
John Brown,ARI,WR,612000
Sammy Watkins,BUF,WR,600000
Walter Powell,BUF,WR,600000
Brittan Golden,ARI,WR,600000
Stephen Hill,CAR,WR,600000
Trey Burton,PHI,WR,600000
Chris Matthews,BAL,WR,600000
Bruce Ellington,SF,WR,600000
Michael Campanaro,BAL,WR,600000
Rodney Smith,DAL,WR,600000
Dontrelle Inman,SD,WR,600000
TJ Jones,DET,WR,600000
Nick Williams,ATL,WR,600000
Taylor Gabriel,CLE,WR,600000
Mike Evans,TB,WR,600000
Ryan Grant,WAS,WR,600000
Frankie Hammond,KC,WR,600000
Charles Johnson,MIN,WR,600000
De'Anthony Thomas,KC,WR,600000
Brenton Bersin,CAR,WR,600000
Adam Thielen,MIN,WR,600000
LaRon Byrd,CAR,WR,600000
Devin Street,DAL,WR,600000
Corey Fuller,DET,WR,600000
Tavarres King,NYG,WR,600000
James Wright,CIN,WR,600000
Corey Brown,CAR,WR,600000
Jeff Janis,GB,WR,600000
Albert Wilson,KC,WR,600000
Tyler Lockett,SEA,WR,580000
Jaelen Strong,HOU,WR,570000
Chris Conley,KC,WR,535000
Ty Montgomery,GB,WR,529750
JJ Nelson,ARI,WR,525000
Nathan Palmer,OAK,WR,525000
Josh Boyce,CLE,WR,525000
Freddie Martino,TB,WR,525000
Geremy Davis,NYG,WR,525000
Matt Hazel,MIA,WR,525000
Kevin White,CHI,WR,525000
Quan Bray,IND,WR,525000
Jared Abbrederis,GB,WR,525000
Cameron Meredith,CHI,WR,525000
Keith Mumphery,HOU,WR,525000
Jeremy Butler,BAL,WR,525000
Mario Alford,CIN,WR,525000
Adam Humphries,TB,WR,525000
Donteea Dye,TB,WR,525000
Javontee Herndon,SD,WR,525000
Stefon Diggs,MIN,WR,525000
Bennie Fowler,DEN,WR,525000
Tyrell Williams,SD,WR,525000
Bradley Marquez,LA,WR,525000
Brandon Coleman,NO,WR,525000
Seth Roberts,OAK,WR,525000
Justin Hardy,ATL,WR,525000
Sammie Coates,PIT,WR,525000
Willie Snead,NO,WR,525000
Jamison Crowder,WAS,WR,525000
Quincy Enunwa,NYJ,WR,525000
Rashad Greene,JAX,WR,525000
Rashad Ross,WAS,WR,525000
Amari Cooper,OAK,WR,525000
Kevin Smith,SEA,WR,525000
Tre McBride,TEN,WR,525000
Jonathan Krause,TB,WR,525000
Jordan Payton,CLE,WR,450000
Ricardo Louis,CLE,WR,450000
Keyarris Garrett,CAR,WR,450000
Kolby Listenbee,BUF,WR,450000
Kenny Lawler,SEA,WR,450000
Mike Thomas,LA,WR,450000
Corey Coleman,CLE,WR,450000
Daniel Braverman,CHI,WR,450000
Charone Peake,NYJ,WR,450000
Cobi Hamilton,PIT,WR,450000
Chris Moore,BAL,WR,450000
Evan Spencer,TB,WR,450000
Antwan Goodley,SEA,WR,450000
Shaquelle Evans,JAX,WR,450000
Demarcus Ayers,PIT,WR,450000
Moritz Boehringer,MIN,WR,450000
Trevor Davis,GB,WR,450000
Issac Blakeney,PIT,WR,450000
Da'Ron Brown,KC,WR,450000
Kashif Moore,KC,WR,450000
Sterling Shepard,NYG,WR,450000
Michael Thomas,NO,WR,450000
Braxton Miller,HOU,WR,450000
Josh Doctson,WAS,WR,450000
Dres Anderson,SF,WR,450000
Leonte Carroo,MIA,WR,450000
Demarcus Robinson,KC,WR,450000
Vince Mayle,DAL,WR,450000
Malcolm Mitchell,NE,WR,450000
Eli Rogers,PIT,WR,450000
Will Fuller,HOU,WR,450000
Jakeem Grant,MIA,WR,450000
DeAndre Smelter,SF,WR,450000
Tajae Sharpe,TEN,WR,450000
Pharoh Cooper,LA,WR,450000
Laquon Treadwell,MIN,WR,450000
Devin Fuller,ATL,WR,450000
Rashard Higgins,CLE,WR,450000
Dezmin Lewis,BUF,WR,450000
Tyler Boyd,CIN,WR,450000
Tyreek Hill,KC,WR,450000
RJ Harris,NO,WR,450000
Kenny Bell,TB,WR,450000
Ryan Spadola,DET,WR,348000
Kaelin Clay,BAL,WR,348000
Vincent Brown,NA,WR,0
Ifeanyi Momah,ARI,WR,0
Nate Washington,NA,WR,0
Marlon Brown,NA,WR,0
Brian Tyms,NA,WR,0
Seantavious Jones,KC,WR,0
Andre Caldwell,NA,WR,0
Seth Devalve,CLE,WR,0
Lance Moore,NA,WR,0
Mike Williams,NA,WR,0
Stedman Bailey,LA,WR,0
Keenan Reynolds,BAL,WR,0
Calvin Johnson,NA,WR,0
Marques Colston,NA,WR,0
Percy Harvin,NA,WR,0
Hakeem Nicks,NA,WR,0
Malcom Floyd,NA,WR,0
Steve Johnson,SD,WR,0
TJ Graham,NA,WR,0
Brian Hartline,NA,WR,0
Marcus Lucas,CAR,WR,0
Justin Blackmon,NA,WR,0
Devin Hester,NA,WR,0
Darren Waller,BAL,WR,0
Leonard Hankerson,NA,WR,0
Deandrew White,SF,WR,0
Kevin Norwood,CAR,WR,0
