Rk,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
132,Michael Hoomanawanui,NE,TE,0,0,0,0,0,2,46,0,0,4.6
133,Travis Benjamin,CLE,WR,0,0,0,0,0,3,46,0,0,4.6
134,Brandon Weeden,CLE,QB,104,0,0,4,0,0,0,0,0,4.56
135,Heath Miller,PIT,TE,0,0,0,0,0,3,45,0,0,4.5
136,Randy Moss,SF,WR,0,0,0,0,0,3,44,0,0,4.4
137,Andre Roberts,ARI,WR,0,0,0,0,0,5,44,0,0,4.4
138,Rueben Randle,NYG,WR,0,0,0,0,0,1,43,0,0,4.3
139,Michael Jenkins,MIN,WR,0,0,0,0,0,2,41,0,0,4.1
140,Chris Johnson,TEN,RB,0,0,0,28,0,2,13,0,0,4.1
141,Tony Scheffler,DET,TE,0,0,0,0,0,4,41,0,0,4.1
142,Garrett Celek,SF,TE,0,0,0,0,0,2,41,0,0,4.1
143,Dexter McCluster,KC,WR,0,0,0,10,0,3,30,0,0,4
144,Brent Celek,PHI,TE,0,0,0,0,0,3,39,0,0,3.9
145,Ronnie Brown,SD,RB,0,0,0,31,0,2,8,0,0,3.9
146,Eddie Royal,SD,WR,0,0,0,0,0,3,39,0,0,3.9
147,Damian Williams,TEN,WR,0,0,0,0,0,3,39,0,0,3.9
148,Jonathan Dwyer,PIT,RB,0,0,0,39,0,0,0,0,0,3.9
149,Donnie Avery,IND,WR,0,0,0,0,0,5,38,0,0,3.8
150,Jermaine Gresham,CIN,TE,0,0,0,0,0,3,38,0,0,3.8
151,Brandon LaFell,CAR,WR,0,0,0,0,0,5,38,0,0,3.8
152,Chris Givens,STL,WR,0,0,0,0,0,3,38,0,0,3.8
153,Rishard Matthews,MIA,WR,0,0,0,0,0,2,37,0,0,3.7
154,Ryan Lindley,ARI,QB,141,0,1,0,0,0,0,0,0,3.64
155,Braylon Edwards,NYJ,WR,0,0,0,0,0,3,36,0,0,3.6
156,Devon Wylie,KC,WR,0,0,0,0,0,3,36,0,0,3.6
157,Brady Quinn,KC,QB,162,0,2,11,0,0,0,0,0,3.58
158,Ronnie Hillman,DEN,RB,0,0,0,35,0,0,0,0,0,3.5
159,Alshon Jeffery,CHI,WR,0,0,0,0,0,1,35,0,0,3.5
160,Will Heller,DET,TE,0,0,0,0,0,4,34,0,0,3.4
161,Dorin Dickerson,BUF,FB,0,0,0,0,0,4,54,0,1,3.4
162,Bilal Powell,NYJ,RB,0,0,0,-3,0,4,37,0,0,3.4
163,TY Hilton,IND,WR,0,0,0,0,0,2,34,0,0,3.4
164,Dallas Clark,TB,TE,0,0,0,0,0,4,33,0,0,3.3
165,Brandon Gibson,STL,WR,0,0,0,0,0,2,33,0,0,3.3
166,Mewelde Moore,IND,RB,0,0,0,0,0,1,32,0,0,3.2
167,Jerome Simpson,MIN,WR,0,0,0,0,0,4,32,0,0,3.2
168,Kahlil Bell,CHI,RB,0,0,0,32,0,0,0,0,0,3.2
169,Brandon Stokley,DEN,WR,0,0,0,0,0,5,32,0,0,3.2
170,Kris Durham,DET,WR,0,0,0,0,0,2,32,0,0,3.2
171,Chaz Schilens,NYJ,WR,0,0,0,0,0,2,31,0,0,3.1
172,Darrius Heyward-Bey,OAK,WR,0,0,0,0,0,2,31,0,0,3.1
173,Andrew Hawkins,CIN,WR,0,0,0,0,0,3,30,0,0,3
174,LaMichael James,SF,RB,0,0,0,15,0,2,14,0,0,2.9
175,Richard Murphy,JAX,RB,0,0,0,29,0,0,0,0,0,2.9
176,Mike Tolbert,CAR,FB,0,0,0,28,0,0,0,0,0,2.8
177,Frank Gore,SF,RB,0,0,0,28,0,0,0,0,0,2.8
178,Jamar Newsome,KC,WR,0,0,0,0,0,1,28,0,0,2.8
179,William Powell,ARI,RB,0,0,0,7,0,3,21,0,0,2.8
180,Martellus Bennett,NYG,TE,0,0,0,0,0,4,27,0,0,2.7
181,Owen Daniels,HOU,TE,0,0,0,0,0,3,27,0,0,2.7
182,Marcedes Lewis,JAX,TE,0,0,0,0,0,4,27,0,0,2.7
183,Vernon Davis,SF,TE,0,0,0,0,0,1,27,0,0,2.7
184,Golden Tate,SEA,WR,0,0,0,0,0,2,27,0,0,2.7
185,Armon Binns,MIA,WR,0,0,0,0,0,3,27,0,0,2.7
